wind_speed,turbulence,route_risk,failure
69,0.99,2.75,0
29,1.8,2.02,0
25,1.71,1.68,0
44,1.92,3.39,0
77,0.9,2.55,0
54,1.35,2.64,0
62,1.53,3.54,1
64,0.6,1.47,0
65,0.91,2.17,0
78,0.86,2.5,0
26,0.53,0.55,0
59,1.13,2.6,0
31,1.24,1.43,0
50,1.6,3.15,0
22,1.24,0.92,0
60,1.69,4.32,1
75,1.79,5.3,1
38,1.24,1.96,0
42,1.41,2.3,0
24,0.8,0.75,0
70,0.87,2.48,0
32,1.19,1.58,0
59,1.76,4.21,1
63,1.51,4.26,1
72,0.97,2.91,0
28,1.08,1.29,0
21,0.68,0.6,0
39,1.84,2.38,0
51,0.7,1.59,0
64,1.56,4.44,1
54,1.97,4.23,1
46,1.27,2.35,0
43,0.58,0.98,0
34,1.0,1.38,0
63,1.32,3.42,0
23,0.83,0.8,0
77,0.53,1.65,0
25,1.86,2.02,0
61,0.78,1.87,0
54,1.66,3.32,0
34,1.51,2.06,0
58,1.05,2.36,0
59,1.41,3.16,0
61,0.85,2.19,0
61,1.68,3.87,1
71,0.96,2.49,0
29,1.06,1.24,0
25,0.61,0.63,0
53,1.49,2.92,0
70,1.41,3.45,0
35,1.02,1.59,0
76,1.12,3.28,0
24,0.98,0.98,0
59,1.13,2.96,0
69,0.55,1.54,0
22,0.71,0.64,0
64,1.72,4.32,1
30,1.81,2.09,0
49,1.43,2.73,0
51,1.68,2.95,0
46,0.77,1.41,0
21,1.35,1.05,0
48,1.98,4.05,1
64,1.03,2.82,0
30,0.96,1.14,0
58,1.21,2.76,0
36,1.96,2.97,0
47,1.09,2.35,0
79,1.56,5.47,1
34,1.49,2.34,0
30,1.55,1.74,0
76,0.97,2.78,0
78,1.63,4.92,1
27,1.18,1.33,0
74,1.8,6.02,1
71,0.95,2.69,0
44,1.3,2.34,0
36,1.63,2.54,0
49,1.07,1.99,0
63,1.98,4.5,1
24,1.19,1.23,0
32,0.68,0.94,0
28,1.49,1.71,0
56,1.97,5.05,1
53,1.07,2.28,0
57,0.89,1.76,0
60,0.98,2.16,0
35,0.73,0.99,0
32,0.51,0.66,0
41,0.66,0.99,0
28,0.99,1.17,0
64,1.78,4.34,1
46,1.74,3.39,0
31,1.53,1.91,0
22,1.89,1.45,0
38,1.14,2.0,0
53,1.01,2.21,0
65,1.55,4.32,1
52,0.7,1.43,0
45,1.85,3.36,0
79,0.7,2.5,0
49,0.52,0.89,0
41,1.27,2.28,0
79,1.27,3.81,1
42,1.8,2.69,0
44,0.81,1.54,0
21,1.87,1.54,0
43,1.82,3.24,0
21,0.6,0.55,0
31,1.69,2.07,0
60,0.62,1.38,0
51,0.97,1.98,0
48,1.99,3.93,1
25,1.62,1.76,0
28,1.17,1.43,0
76,1.41,4.1,1
33,1.37,2.1,0
25,1.99,1.79,0
77,1.95,5.09,1
42,1.26,2.04,0
62,1.21,3.0,0
34,1.74,2.31,0
66,0.75,2.08,0
44,0.68,1.1,0
79,0.72,2.12,0
26,1.98,2.17,0
32,1.42,1.84,0
64,1.66,3.81,1
64,1.42,3.97,1
69,0.68,1.8,0
36,1.97,3.31,0
35,0.74,1.09,0
33,1.92,2.78,0
66,1.4,3.15,0
69,1.39,3.86,1
27,1.65,1.69,0
59,1.46,3.34,0
56,1.0,2.28,0
65,0.73,1.72,0
43,0.93,1.48,0
55,1.8,3.71,1
56,0.94,2.07,0
24,0.55,0.53,0
67,0.72,1.76,0
59,0.61,1.55,0
80,1.41,4.2,1
33,1.97,2.33,0
40,0.83,1.29,0
35,0.53,0.77,0
29,1.32,1.48,0
38,1.39,1.93,0
55,1.63,3.8,1
66,1.43,3.26,0
56,0.56,1.34,0
64,0.59,1.64,0
46,0.63,1.25,0
73,0.64,1.79,0
52,1.95,4.42,1
41,1.2,2.06,0
37,1.89,2.75,0
65,1.66,4.53,1
73,1.75,4.48,1
41,1.62,2.62,0
68,1.45,3.79,1
61,1.67,3.77,1
62,0.54,1.33,0
61,0.94,2.62,0
36,1.31,1.94,0
49,1.16,2.22,0
62,1.17,3.06,0
35,1.23,1.74,0
65,0.77,2.01,0
43,1.67,2.92,0
50,0.72,1.38,0
46,1.34,2.59,0
53,1.92,4.04,1
66,1.63,4.02,1
65,0.7,1.65,0
55,1.42,3.25,0
66,1.37,3.75,1
62,0.61,1.51,0
36,1.27,1.92,0
45,0.64,1.14,0
46,1.88,3.33,0
41,1.64,2.32,0
37,1.95,2.86,0
20,0.8,0.65,0
55,1.7,3.63,1
60,1.15,2.58,0
57,1.27,2.98,0
63,1.17,2.92,0
35,0.94,1.29,0
62,1.92,4.9,1
65,1.62,4.09,1
30,0.82,0.96,0
35,1.19,1.65,0
46,0.55,0.99,0
36,0.94,1.41,0
73,1.98,6.39,1
41,1.76,2.58,0
51,1.3,2.85,0
74,1.4,4.18,1
77,1.93,5.41,1
33,0.62,0.78,0
31,1.14,1.39,0
35,1.28,1.72,0
23,1.75,1.42,0
51,0.71,1.35,0
67,1.38,3.68,1
41,0.75,1.29,0
62,0.55,1.45,0
44,0.72,1.3,0
48,1.29,2.46,0
24,1.86,1.67,0
39,1.26,2.2,0
67,1.7,4.7,1
76,1.27,3.72,1
70,1.82,5.79,1
24,0.93,0.94,0
29,0.64,0.68,0
53,1.23,2.6,0
69,1.05,2.89,0
26,1.29,1.45,0
54,1.24,2.83,0
78,0.86,2.3,0
47,1.24,2.08,0
70,1.98,5.48,1
59,1.83,4.49,1
46,0.96,1.92,0
29,0.83,1.11,0
54,0.74,1.81,0
46,1.85,3.3,0
49,0.67,1.49,0
80,1.95,5.39,1
43,1.12,1.96,0
67,0.73,1.95,0
27,1.16,1.22,0
41,0.84,1.52,0
71,1.03,3.05,0
39,0.59,0.97,0
53,1.31,2.85,0
65,1.37,3.21,0
73,1.86,5.79,1
32,0.93,1.12,0
60,0.69,1.77,0
27,1.08,1.08,0
58,1.51,4.01,1
23,0.65,0.61,0
53,1.03,1.96,0
46,0.63,1.25,0
54,1.24,2.72,0
56,1.21,2.95,0
77,1.44,4.78,1
72,1.02,3.17,0
39,0.88,1.42,0
50,1.44,2.69,0
67,1.51,4.34,1
73,1.23,3.22,0
29,1.56,1.84,0
58,1.41,2.91,0
74,1.61,4.28,1
30,0.99,1.0,0
41,1.0,1.78,0
27,1.61,1.75,0
35,1.46,2.01,0
68,1.3,3.56,1
65,1.01,2.93,0
41,1.78,2.88,0
47,0.98,1.58,0
57,1.22,2.7,0
45,1.0,2.02,0
65,0.71,2.06,0
42,0.81,1.48,0
56,1.62,3.38,0
66,1.33,3.18,0
67,1.61,4.41,1
57,0.98,2.09,0
57,1.12,2.81,0
75,1.19,3.42,0
63,1.37,3.66,1
20,0.9,0.72,0
31,1.93,2.3,0
46,0.89,1.82,0
32,1.06,1.22,0
66,1.38,3.55,1
68,1.59,4.71,1
61,1.3,3.18,0
55,1.68,3.91,1
29,1.29,1.32,0
35,1.77,2.41,0
48,0.92,1.65,0
80,0.6,2.05,0
41,0.51,0.78,0
72,1.4,4.23,1
20,0.61,0.47,0
46,0.54,1.03,0
34,1.6,2.21,0
42,1.2,2.09,0
44,1.64,2.67,0
41,1.06,1.89,0
41,1.34,2.12,0
20,1.63,1.1,0
75,1.71,4.76,1
24,1.98,2.21,0
59,1.86,4.0,1
42,1.73,3.31,0
44,0.64,1.08,0
45,1.89,3.72,1
70,0.87,2.22,0
52,0.7,1.53,0
58,1.48,3.39,0
57,0.68,1.42,0
28,1.5,1.53,0
79,1.03,2.96,0
69,1.94,5.11,1
78,0.94,2.66,0
48,1.67,3.24,0
42,1.09,1.87,0
80,1.14,3.77,1
23,1.65,1.59,0
29,0.77,0.81,0
49,1.05,2.08,0
34,1.37,1.73,0
65,0.94,2.58,0
59,1.0,2.48,0
60,0.91,2.33,0
